n,m,difficulty_band,graphs,tasks,runs,u0,utility,delta_u
8,28,ceiling,5,29,145,0.9793103448275862,1.0,0.020689655172413793
8,28,floor,5,4,20,0.0,0.05,0.05
8,28,intermediate,5,17,85,0.7294117647058823,0.8705882352941177,0.1411764705882353
8,31,ceiling,5,29,145,0.9793103448275862,0.9724137931034482,-0.006896551724137931
8,31,floor,5,4,20,0.05,0.05,0.0
8,31,intermediate,5,17,85,0.6705882352941176,0.8588235294117647,0.18823529411764706
8,34,ceiling,5,29,145,0.9862068965517241,1.0,0.013793103448275862
8,34,floor,5,4,20,0.0,0.1,0.1
8,34,intermediate,5,17,85,0.7176470588235294,0.8823529411764706,0.16470588235294117
8,37,ceiling,5,29,145,0.9862068965517241,1.0,0.013793103448275862
8,37,floor,5,4,20,0.0,0.0,0.0
8,37,intermediate,5,17,85,0.7529411764705882,0.8705882352941177,0.11764705882352941
8,40,ceiling,5,29,145,1.0,0.9862068965517241,-0.013793103448275862
8,40,floor,5,4,20,0.05,0.1,0.05
8,40,intermediate,5,17,85,0.6941176470588235,0.8823529411764706,0.18823529411764706
8,43,ceiling,5,29,145,0.9655172413793104,0.9862068965517241,0.020689655172413793
8,43,floor,5,4,20,0.1,0.05,-0.05
8,43,intermediate,5,17,85,0.6941176470588235,0.8235294117647058,0.12941176470588237
8,46,ceiling,5,29,145,0.993103448275862,0.993103448275862,0.0
8,46,floor,5,4,20,0.0,0.05,0.05
8,46,intermediate,5,17,85,0.7294117647058823,0.9058823529411765,0.17647058823529413
8,49,ceiling,1,29,29,1.0,1.0,0.0
8,49,floor,1,4,4,0.0,0.0,0.0
8,49,intermediate,1,17,17,0.7058823529411765,0.8235294117647058,0.11764705882352941
