threshold_scheme,evaluation_n,calibration_n,task_id,difficulty,difficulty_band,runs,sum_u0,sum_final,sum_delta,initial_correct,initial_wrong,preserved,corrected,corrupted
primary_aime_aligned,5,8,gsm8k-test-00519,0.9859154929577465,ceiling,61,61.0,61.0,0.0,61,0,61,0,0
primary_aime_aligned,5,8,gsm8k-test-01195,0.9154929577464789,ceiling,61,58.0,55.0,-3.0,58,3,53,2,5
primary_aime_aligned,5,8,gsm8k-test-00911,1.0,ceiling,61,61.0,61.0,0.0,61,0,61,0,0
primary_aime_aligned,5,8,gsm8k-test-00254,0.9859154929577465,ceiling,61,61.0,60.0,-1.0,61,0,60,0,1
primary_aime_aligned,5,8,gsm8k-test-00305,1.0,ceiling,61,60.0,61.0,1.0,60,1,60,1,0
primary_aime_aligned,5,8,gsm8k-test-00271,0.6619718309859155,intermediate,61,46.0,53.0,7.0,46,15,44,9,2
primary_aime_aligned,5,8,gsm8k-test-00430,1.0,ceiling,61,61.0,61.0,0.0,61,0,61,0,0
primary_aime_aligned,5,8,gsm8k-test-00691,0.8591549295774648,intermediate,61,52.0,52.0,0.0,52,9,46,6,6
primary_aime_aligned,5,8,gsm8k-test-00835,0.056338028169014086,floor,61,6.0,3.0,-3.0,6,55,1,2,5
primary_aime_aligned,5,8,gsm8k-test-00503,1.0,ceiling,61,60.0,60.0,0.0,60,1,59,1,1
primary_aime_aligned,5,8,gsm8k-test-00096,0.971830985915493,ceiling,61,59.0,60.0,1.0,59,2,58,2,1
primary_aime_aligned,5,8,gsm8k-test-00075,0.0,floor,61,0.0,0.0,0.0,0,61,0,0,0
primary_aime_aligned,5,8,gsm8k-test-00080,0.9577464788732394,ceiling,61,55.0,61.0,6.0,55,6,55,6,0
primary_aime_aligned,5,8,gsm8k-test-01005,0.6056338028169014,intermediate,61,36.0,37.0,1.0,36,25,25,12,11
primary_aime_aligned,5,8,gsm8k-test-00508,1.0,ceiling,61,59.0,59.0,0.0,59,2,58,1,1
primary_aime_aligned,5,8,gsm8k-test-00396,0.9436619718309859,ceiling,61,61.0,58.0,-3.0,61,0,58,0,3
primary_aime_aligned,5,8,gsm8k-test-00611,0.014084507042253521,floor,61,2.0,0.0,-2.0,2,59,0,0,2
primary_aime_aligned,5,8,gsm8k-test-01247,0.8591549295774648,intermediate,61,51.0,51.0,0.0,51,10,44,7,7
primary_aime_aligned,5,8,gsm8k-test-01143,1.0,ceiling,61,61.0,61.0,0.0,61,0,61,0,0
primary_aime_aligned,5,8,gsm8k-test-00121,1.0,ceiling,61,61.0,61.0,0.0,61,0,61,0,0
primary_aime_aligned,5,8,gsm8k-test-01240,0.6338028169014085,intermediate,61,39.0,41.0,2.0,39,22,29,12,10
primary_aime_aligned,5,8,gsm8k-test-00756,1.0,ceiling,61,61.0,61.0,0.0,61,0,61,0,0
primary_aime_aligned,5,8,gsm8k-test-00864,0.9577464788732394,ceiling,61,61.0,59.0,-2.0,61,0,59,0,2
primary_aime_aligned,5,8,gsm8k-test-00736,0.4788732394366197,intermediate,61,29.0,35.0,6.0,29,32,21,14,8
primary_aime_aligned,5,8,gsm8k-test-00027,0.8873239436619719,intermediate,61,52.0,58.0,6.0,52,9,49,9,3
primary_aime_aligned,5,8,gsm8k-test-00679,0.9577464788732394,ceiling,61,55.0,58.0,3.0,55,6,52,6,3
primary_aime_aligned,5,8,gsm8k-test-00064,0.8591549295774648,intermediate,61,47.0,50.0,3.0,47,14,42,8,5
primary_aime_aligned,5,8,gsm8k-test-00814,0.028169014084507043,floor,61,3.0,3.0,0.0,3,58,2,1,1
primary_aime_aligned,5,8,gsm8k-test-00807,0.7183098591549296,intermediate,61,48.0,59.0,11.0,48,13,46,13,2
primary_aime_aligned,5,8,gsm8k-test-00319,0.9859154929577465,ceiling,61,59.0,61.0,2.0,59,2,59,2,0
primary_aime_aligned,8,5,gsm8k-test-01289,1.0,ceiling,71,71.0,71.0,0.0,71,0,71,0,0
primary_aime_aligned,8,5,gsm8k-test-00836,1.0,ceiling,71,71.0,71.0,0.0,71,0,71,0,0
primary_aime_aligned,8,5,gsm8k-test-00532,0.6885245901639344,intermediate,71,55.0,64.0,9.0,55,16,50,14,5
primary_aime_aligned,8,5,gsm8k-test-01119,0.8852459016393442,intermediate,71,64.0,58.0,-6.0,64,7,54,4,10
primary_aime_aligned,8,5,gsm8k-test-01061,1.0,ceiling,71,71.0,71.0,0.0,71,0,71,0,0
primary_aime_aligned,8,5,gsm8k-test-01027,0.8688524590163934,intermediate,71,64.0,69.0,5.0,64,7,62,7,2
primary_aime_aligned,8,5,gsm8k-test-00244,0.9180327868852459,ceiling,71,68.0,64.0,-4.0,68,3,62,2,6
primary_aime_aligned,8,5,gsm8k-test-00658,1.0,ceiling,71,71.0,70.0,-1.0,71,0,70,0,1
primary_aime_aligned,8,5,gsm8k-test-00312,0.9836065573770492,ceiling,71,71.0,71.0,0.0,71,0,71,0,0
primary_aime_aligned,8,5,gsm8k-test-00711,0.21311475409836064,intermediate,71,22.0,37.0,15.0,22,49,15,22,7
primary_aime_aligned,8,5,gsm8k-test-00496,0.9672131147540983,ceiling,71,67.0,71.0,4.0,67,4,67,4,0
primary_aime_aligned,8,5,gsm8k-test-00468,0.9672131147540983,ceiling,71,66.0,71.0,5.0,66,5,66,5,0
primary_aime_aligned,8,5,gsm8k-test-00497,0.6557377049180327,intermediate,71,39.0,56.0,17.0,39,32,35,21,4
primary_aime_aligned,8,5,gsm8k-test-00588,0.9672131147540983,ceiling,71,71.0,70.0,-1.0,71,0,70,0,1
primary_aime_aligned,8,5,gsm8k-test-00587,0.7049180327868853,intermediate,71,53.0,64.0,11.0,53,18,47,17,6
primary_aime_aligned,8,5,gsm8k-test-00617,1.0,ceiling,71,71.0,71.0,0.0,71,0,71,0,0
primary_aime_aligned,8,5,gsm8k-test-00011,0.9836065573770492,ceiling,71,71.0,70.0,-1.0,71,0,70,0,1
primary_aime_aligned,8,5,gsm8k-test-00252,0.8524590163934426,intermediate,71,54.0,69.0,15.0,54,17,52,17,2
primary_aime_aligned,8,5,gsm8k-test-00882,0.5901639344262295,intermediate,71,49.0,66.0,17.0,49,22,47,19,2
primary_aime_aligned,8,5,gsm8k-test-00480,1.0,ceiling,71,70.0,71.0,1.0,70,1,70,1,0
primary_aime_aligned,8,5,gsm8k-test-00519,1.0,ceiling,71,70.0,71.0,1.0,70,1,70,1,0
primary_aime_aligned,8,5,gsm8k-test-01195,0.9508196721311475,ceiling,71,65.0,68.0,3.0,65,6,63,5,2
primary_aime_aligned,8,5,gsm8k-test-00911,1.0,ceiling,71,71.0,71.0,0.0,71,0,71,0,0
primary_aime_aligned,8,5,gsm8k-test-00254,1.0,ceiling,71,70.0,70.0,0.0,70,1,69,1,1
primary_aime_aligned,8,5,gsm8k-test-00305,0.9836065573770492,ceiling,71,71.0,71.0,0.0,71,0,71,0,0
primary_aime_aligned,8,5,gsm8k-test-00271,0.7540983606557377,intermediate,71,47.0,66.0,19.0,47,24,47,19,0
primary_aime_aligned,8,5,gsm8k-test-00430,1.0,ceiling,71,71.0,71.0,0.0,71,0,71,0,0
primary_aime_aligned,8,5,gsm8k-test-00691,0.8524590163934426,intermediate,71,61.0,66.0,5.0,61,10,58,8,3
primary_aime_aligned,8,5,gsm8k-test-00835,0.09836065573770492,floor,71,4.0,7.0,3.0,4,67,0,7,4
primary_aime_aligned,8,5,gsm8k-test-00503,0.9836065573770492,ceiling,71,71.0,71.0,0.0,71,0,71,0,0
primary_aime_aligned,8,5,gsm8k-test-00096,0.9672131147540983,ceiling,71,69.0,71.0,2.0,69,2,69,2,0
primary_aime_aligned,8,5,gsm8k-test-00075,0.0,floor,71,0.0,0.0,0.0,0,71,0,0,0
primary_aime_aligned,8,5,gsm8k-test-00080,0.9016393442622951,ceiling,71,68.0,70.0,2.0,68,3,67,3,1
primary_aime_aligned,8,5,gsm8k-test-01005,0.5901639344262295,intermediate,71,43.0,59.0,16.0,43,28,38,21,5
primary_aime_aligned,8,5,gsm8k-test-00508,0.9672131147540983,ceiling,71,71.0,70.0,-1.0,71,0,70,0,1
primary_aime_aligned,8,5,gsm8k-test-00396,1.0,ceiling,71,67.0,70.0,3.0,67,4,66,4,1
primary_aime_aligned,8,5,gsm8k-test-00611,0.03278688524590164,floor,71,1.0,1.0,0.0,1,70,0,1,1
primary_aime_aligned,8,5,gsm8k-test-01247,0.8360655737704918,intermediate,71,61.0,62.0,1.0,61,10,55,7,6
primary_aime_aligned,8,5,gsm8k-test-01143,1.0,ceiling,71,71.0,71.0,0.0,71,0,71,0,0
primary_aime_aligned,8,5,gsm8k-test-00121,1.0,ceiling,71,71.0,71.0,0.0,71,0,71,0,0
primary_aime_aligned,8,5,gsm8k-test-01240,0.639344262295082,intermediate,71,45.0,54.0,9.0,45,26,37,17,8
primary_aime_aligned,8,5,gsm8k-test-00756,1.0,ceiling,71,71.0,71.0,0.0,71,0,71,0,0
primary_aime_aligned,8,5,gsm8k-test-00864,1.0,ceiling,71,68.0,71.0,3.0,68,3,68,3,0
primary_aime_aligned,8,5,gsm8k-test-00736,0.47540983606557374,intermediate,71,34.0,43.0,9.0,34,37,23,20,11
primary_aime_aligned,8,5,gsm8k-test-00027,0.8524590163934426,intermediate,71,63.0,68.0,5.0,63,8,62,6,1
primary_aime_aligned,8,5,gsm8k-test-00679,0.9016393442622951,ceiling,71,68.0,71.0,3.0,68,3,68,3,0
primary_aime_aligned,8,5,gsm8k-test-00064,0.7704918032786885,intermediate,71,61.0,67.0,6.0,61,10,58,9,3
primary_aime_aligned,8,5,gsm8k-test-00814,0.04918032786885246,floor,71,2.0,4.0,2.0,2,69,1,3,1
primary_aime_aligned,8,5,gsm8k-test-00807,0.7868852459016393,intermediate,71,51.0,69.0,18.0,51,20,49,20,2
primary_aime_aligned,8,5,gsm8k-test-00319,0.9672131147540983,ceiling,71,70.0,70.0,0.0,70,1,69,1,1
sensitivity_wide_extremes,5,8,gsm8k-test-01289,1.0,ceiling,61,61.0,61.0,0.0,61,0,61,0,0
sensitivity_wide_extremes,5,8,gsm8k-test-00836,1.0,ceiling,61,61.0,61.0,0.0,61,0,61,0,0
sensitivity_wide_extremes,5,8,gsm8k-test-00532,0.7746478873239436,intermediate,61,42.0,54.0,12.0,42,19,39,15,3
sensitivity_wide_extremes,5,8,gsm8k-test-01119,0.9014084507042254,ceiling,61,54.0,50.0,-4.0,54,7,46,4,8
sensitivity_wide_extremes,5,8,gsm8k-test-01061,1.0,ceiling,61,61.0,61.0,0.0,61,0,61,0,0
sensitivity_wide_extremes,5,8,gsm8k-test-01027,0.9014084507042254,ceiling,61,53.0,59.0,6.0,53,8,52,7,1
sensitivity_wide_extremes,5,8,gsm8k-test-00244,0.9577464788732394,ceiling,61,56.0,56.0,0.0,56,5,53,3,3
sensitivity_wide_extremes,5,8,gsm8k-test-00658,1.0,ceiling,61,61.0,59.0,-2.0,61,0,59,0,2
sensitivity_wide_extremes,5,8,gsm8k-test-00312,1.0,ceiling,61,60.0,61.0,1.0,60,1,60,1,0
sensitivity_wide_extremes,5,8,gsm8k-test-00711,0.30985915492957744,intermediate,61,13.0,24.0,11.0,13,48,9,15,4
sensitivity_wide_extremes,5,8,gsm8k-test-00496,0.9436619718309859,ceiling,61,59.0,61.0,2.0,59,2,59,2,0
sensitivity_wide_extremes,5,8,gsm8k-test-00468,0.9295774647887324,ceiling,61,59.0,60.0,1.0,59,2,58,2,1
sensitivity_wide_extremes,5,8,gsm8k-test-00497,0.5492957746478874,intermediate,61,40.0,41.0,1.0,40,21,31,10,9
sensitivity_wide_extremes,5,8,gsm8k-test-00588,1.0,ceiling,61,59.0,60.0,1.0,59,2,58,2,1
sensitivity_wide_extremes,5,8,gsm8k-test-00587,0.7464788732394366,intermediate,61,43.0,52.0,9.0,43,18,38,14,5
sensitivity_wide_extremes,5,8,gsm8k-test-00617,1.0,ceiling,61,61.0,61.0,0.0,61,0,61,0,0
sensitivity_wide_extremes,5,8,gsm8k-test-00011,1.0,ceiling,61,60.0,60.0,0.0,60,1,59,1,1
sensitivity_wide_extremes,5,8,gsm8k-test-00252,0.7605633802816901,intermediate,61,52.0,55.0,3.0,52,9,47,8,5
sensitivity_wide_extremes,5,8,gsm8k-test-00882,0.6901408450704225,intermediate,61,36.0,52.0,16.0,36,25,34,18,2
sensitivity_wide_extremes,5,8,gsm8k-test-00480,0.9859154929577465,ceiling,61,61.0,58.0,-3.0,61,0,58,0,3
sensitivity_wide_extremes,5,8,gsm8k-test-00519,0.9859154929577465,ceiling,61,61.0,61.0,0.0,61,0,61,0,0
sensitivity_wide_extremes,5,8,gsm8k-test-01195,0.9154929577464789,ceiling,61,58.0,55.0,-3.0,58,3,53,2,5
sensitivity_wide_extremes,5,8,gsm8k-test-00911,1.0,ceiling,61,61.0,61.0,0.0,61,0,61,0,0
sensitivity_wide_extremes,5,8,gsm8k-test-00254,0.9859154929577465,ceiling,61,61.0,60.0,-1.0,61,0,60,0,1
sensitivity_wide_extremes,5,8,gsm8k-test-00305,1.0,ceiling,61,60.0,61.0,1.0,60,1,60,1,0
sensitivity_wide_extremes,5,8,gsm8k-test-00271,0.6619718309859155,intermediate,61,46.0,53.0,7.0,46,15,44,9,2
sensitivity_wide_extremes,5,8,gsm8k-test-00430,1.0,ceiling,61,61.0,61.0,0.0,61,0,61,0,0
sensitivity_wide_extremes,5,8,gsm8k-test-00691,0.8591549295774648,ceiling,61,52.0,52.0,0.0,52,9,46,6,6
sensitivity_wide_extremes,5,8,gsm8k-test-00835,0.056338028169014086,floor,61,6.0,3.0,-3.0,6,55,1,2,5
sensitivity_wide_extremes,5,8,gsm8k-test-00503,1.0,ceiling,61,60.0,60.0,0.0,60,1,59,1,1
sensitivity_wide_extremes,5,8,gsm8k-test-00096,0.971830985915493,ceiling,61,59.0,60.0,1.0,59,2,58,2,1
sensitivity_wide_extremes,5,8,gsm8k-test-00075,0.0,floor,61,0.0,0.0,0.0,0,61,0,0,0
sensitivity_wide_extremes,5,8,gsm8k-test-00080,0.9577464788732394,ceiling,61,55.0,61.0,6.0,55,6,55,6,0
sensitivity_wide_extremes,5,8,gsm8k-test-01005,0.6056338028169014,intermediate,61,36.0,37.0,1.0,36,25,25,12,11
sensitivity_wide_extremes,5,8,gsm8k-test-00508,1.0,ceiling,61,59.0,59.0,0.0,59,2,58,1,1
sensitivity_wide_extremes,5,8,gsm8k-test-00396,0.9436619718309859,ceiling,61,61.0,58.0,-3.0,61,0,58,0,3
sensitivity_wide_extremes,5,8,gsm8k-test-00611,0.014084507042253521,floor,61,2.0,0.0,-2.0,2,59,0,0,2
sensitivity_wide_extremes,5,8,gsm8k-test-01247,0.8591549295774648,ceiling,61,51.0,51.0,0.0,51,10,44,7,7
sensitivity_wide_extremes,5,8,gsm8k-test-01143,1.0,ceiling,61,61.0,61.0,0.0,61,0,61,0,0
sensitivity_wide_extremes,5,8,gsm8k-test-00121,1.0,ceiling,61,61.0,61.0,0.0,61,0,61,0,0
sensitivity_wide_extremes,5,8,gsm8k-test-01240,0.6338028169014085,intermediate,61,39.0,41.0,2.0,39,22,29,12,10
sensitivity_wide_extremes,5,8,gsm8k-test-00756,1.0,ceiling,61,61.0,61.0,0.0,61,0,61,0,0
sensitivity_wide_extremes,5,8,gsm8k-test-00864,0.9577464788732394,ceiling,61,61.0,59.0,-2.0,61,0,59,0,2
sensitivity_wide_extremes,5,8,gsm8k-test-00736,0.4788732394366197,intermediate,61,29.0,35.0,6.0,29,32,21,14,8
sensitivity_wide_extremes,5,8,gsm8k-test-00027,0.8873239436619719,ceiling,61,52.0,58.0,6.0,52,9,49,9,3
sensitivity_wide_extremes,5,8,gsm8k-test-00679,0.9577464788732394,ceiling,61,55.0,58.0,3.0,55,6,52,6,3
sensitivity_wide_extremes,5,8,gsm8k-test-00064,0.8591549295774648,ceiling,61,47.0,50.0,3.0,47,14,42,8,5
sensitivity_wide_extremes,5,8,gsm8k-test-00814,0.028169014084507043,floor,61,3.0,3.0,0.0,3,58,2,1,1
sensitivity_wide_extremes,5,8,gsm8k-test-00807,0.7183098591549296,intermediate,61,48.0,59.0,11.0,48,13,46,13,2
sensitivity_wide_extremes,5,8,gsm8k-test-00319,0.9859154929577465,ceiling,61,59.0,61.0,2.0,59,2,59,2,0
sensitivity_wide_extremes,8,5,gsm8k-test-01289,1.0,ceiling,71,71.0,71.0,0.0,71,0,71,0,0
sensitivity_wide_extremes,8,5,gsm8k-test-00836,1.0,ceiling,71,71.0,71.0,0.0,71,0,71,0,0
sensitivity_wide_extremes,8,5,gsm8k-test-00532,0.6885245901639344,intermediate,71,55.0,64.0,9.0,55,16,50,14,5
sensitivity_wide_extremes,8,5,gsm8k-test-01119,0.8852459016393442,ceiling,71,64.0,58.0,-6.0,64,7,54,4,10
sensitivity_wide_extremes,8,5,gsm8k-test-01061,1.0,ceiling,71,71.0,71.0,0.0,71,0,71,0,0
sensitivity_wide_extremes,8,5,gsm8k-test-01027,0.8688524590163934,ceiling,71,64.0,69.0,5.0,64,7,62,7,2
sensitivity_wide_extremes,8,5,gsm8k-test-00244,0.9180327868852459,ceiling,71,68.0,64.0,-4.0,68,3,62,2,6
sensitivity_wide_extremes,8,5,gsm8k-test-00658,1.0,ceiling,71,71.0,70.0,-1.0,71,0,70,0,1
sensitivity_wide_extremes,8,5,gsm8k-test-00312,0.9836065573770492,ceiling,71,71.0,71.0,0.0,71,0,71,0,0
sensitivity_wide_extremes,8,5,gsm8k-test-00711,0.21311475409836064,intermediate,71,22.0,37.0,15.0,22,49,15,22,7
sensitivity_wide_extremes,8,5,gsm8k-test-00496,0.9672131147540983,ceiling,71,67.0,71.0,4.0,67,4,67,4,0
sensitivity_wide_extremes,8,5,gsm8k-test-00468,0.9672131147540983,ceiling,71,66.0,71.0,5.0,66,5,66,5,0
sensitivity_wide_extremes,8,5,gsm8k-test-00497,0.6557377049180327,intermediate,71,39.0,56.0,17.0,39,32,35,21,4
sensitivity_wide_extremes,8,5,gsm8k-test-00588,0.9672131147540983,ceiling,71,71.0,70.0,-1.0,71,0,70,0,1
sensitivity_wide_extremes,8,5,gsm8k-test-00587,0.7049180327868853,intermediate,71,53.0,64.0,11.0,53,18,47,17,6
sensitivity_wide_extremes,8,5,gsm8k-test-00617,1.0,ceiling,71,71.0,71.0,0.0,71,0,71,0,0
sensitivity_wide_extremes,8,5,gsm8k-test-00011,0.9836065573770492,ceiling,71,71.0,70.0,-1.0,71,0,70,0,1
sensitivity_wide_extremes,8,5,gsm8k-test-00252,0.8524590163934426,ceiling,71,54.0,69.0,15.0,54,17,52,17,2
sensitivity_wide_extremes,8,5,gsm8k-test-00882,0.5901639344262295,intermediate,71,49.0,66.0,17.0,49,22,47,19,2
sensitivity_wide_extremes,8,5,gsm8k-test-00480,1.0,ceiling,71,70.0,71.0,1.0,70,1,70,1,0
sensitivity_wide_extremes,8,5,gsm8k-test-00519,1.0,ceiling,71,70.0,71.0,1.0,70,1,70,1,0
sensitivity_wide_extremes,8,5,gsm8k-test-01195,0.9508196721311475,ceiling,71,65.0,68.0,3.0,65,6,63,5,2
sensitivity_wide_extremes,8,5,gsm8k-test-00911,1.0,ceiling,71,71.0,71.0,0.0,71,0,71,0,0
sensitivity_wide_extremes,8,5,gsm8k-test-00254,1.0,ceiling,71,70.0,70.0,0.0,70,1,69,1,1
sensitivity_wide_extremes,8,5,gsm8k-test-00305,0.9836065573770492,ceiling,71,71.0,71.0,0.0,71,0,71,0,0
sensitivity_wide_extremes,8,5,gsm8k-test-00271,0.7540983606557377,intermediate,71,47.0,66.0,19.0,47,24,47,19,0
sensitivity_wide_extremes,8,5,gsm8k-test-00430,1.0,ceiling,71,71.0,71.0,0.0,71,0,71,0,0
sensitivity_wide_extremes,8,5,gsm8k-test-00691,0.8524590163934426,ceiling,71,61.0,66.0,5.0,61,10,58,8,3
sensitivity_wide_extremes,8,5,gsm8k-test-00835,0.09836065573770492,floor,71,4.0,7.0,3.0,4,67,0,7,4
sensitivity_wide_extremes,8,5,gsm8k-test-00503,0.9836065573770492,ceiling,71,71.0,71.0,0.0,71,0,71,0,0
sensitivity_wide_extremes,8,5,gsm8k-test-00096,0.9672131147540983,ceiling,71,69.0,71.0,2.0,69,2,69,2,0
sensitivity_wide_extremes,8,5,gsm8k-test-00075,0.0,floor,71,0.0,0.0,0.0,0,71,0,0,0
sensitivity_wide_extremes,8,5,gsm8k-test-00080,0.9016393442622951,ceiling,71,68.0,70.0,2.0,68,3,67,3,1
sensitivity_wide_extremes,8,5,gsm8k-test-01005,0.5901639344262295,intermediate,71,43.0,59.0,16.0,43,28,38,21,5
sensitivity_wide_extremes,8,5,gsm8k-test-00508,0.9672131147540983,ceiling,71,71.0,70.0,-1.0,71,0,70,0,1
sensitivity_wide_extremes,8,5,gsm8k-test-00396,1.0,ceiling,71,67.0,70.0,3.0,67,4,66,4,1
sensitivity_wide_extremes,8,5,gsm8k-test-00611,0.03278688524590164,floor,71,1.0,1.0,0.0,1,70,0,1,1
sensitivity_wide_extremes,8,5,gsm8k-test-01247,0.8360655737704918,ceiling,71,61.0,62.0,1.0,61,10,55,7,6
sensitivity_wide_extremes,8,5,gsm8k-test-01143,1.0,ceiling,71,71.0,71.0,0.0,71,0,71,0,0
sensitivity_wide_extremes,8,5,gsm8k-test-00121,1.0,ceiling,71,71.0,71.0,0.0,71,0,71,0,0
sensitivity_wide_extremes,8,5,gsm8k-test-01240,0.639344262295082,intermediate,71,45.0,54.0,9.0,45,26,37,17,8
sensitivity_wide_extremes,8,5,gsm8k-test-00756,1.0,ceiling,71,71.0,71.0,0.0,71,0,71,0,0
sensitivity_wide_extremes,8,5,gsm8k-test-00864,1.0,ceiling,71,68.0,71.0,3.0,68,3,68,3,0
sensitivity_wide_extremes,8,5,gsm8k-test-00736,0.47540983606557374,intermediate,71,34.0,43.0,9.0,34,37,23,20,11
sensitivity_wide_extremes,8,5,gsm8k-test-00027,0.8524590163934426,ceiling,71,63.0,68.0,5.0,63,8,62,6,1
sensitivity_wide_extremes,8,5,gsm8k-test-00679,0.9016393442622951,ceiling,71,68.0,71.0,3.0,68,3,68,3,0
sensitivity_wide_extremes,8,5,gsm8k-test-00064,0.7704918032786885,intermediate,71,61.0,67.0,6.0,61,10,58,9,3
sensitivity_wide_extremes,8,5,gsm8k-test-00814,0.04918032786885246,floor,71,2.0,4.0,2.0,2,69,1,3,1
sensitivity_wide_extremes,8,5,gsm8k-test-00807,0.7868852459016393,intermediate,71,51.0,69.0,18.0,51,20,49,20,2
sensitivity_wide_extremes,8,5,gsm8k-test-00319,0.9672131147540983,ceiling,71,70.0,70.0,0.0,70,1,69,1,1
